NumDocumento;NumCelular
70152211;3001052211
70152212;3001052212
70152213;3001052213
70152214;3001052214
70152215;3001052215
70152216;3001052216
70152217;3001052217
70152218;3001052218
70152219;3001052219
70152220;3001052220
70152221;3001052021
70152222;3001052022
70152223;3001052023
70152224;3001052024
70152225;3001052025
70152226;3001052026
70152227;3001052027
70152228;3001052028
70152229;3001052029
70152230;3001052030
70152231;3001052031
70152232;3001052032
70152233;3001052033
70152234;3001052034
70152235;3001052035
70152236;3001052036
70152237;3001052037
70152238;3001052038
70152239;3001052039
70152240;3001052040
70152241;3001052041
70152242;3001052042
70152243;3001052043
70152244;3001052044
70152245;3001052045
70152246;3001052046
70152247;3001052047
70152248;3001052048
70152249;3001052049
70152250;3001052050
70152447;3001052247
70152448;3001052248
70152449;3001052249
70152450;3001052250
70152451;3001052251
70152461;3001052261
70152462;3001052262
70152463;3001052263
70152464;3001052264
70152467;3001052267
70152468;3001052268
70152469;3001052269
70152470;3001052270
70152471;3001052271
70152472;3001052272
70152473;3001052273
70152474;3001052274
70152475;3001052275
70152476;3001052276
70152477;3001052277
70152478;3001052278
70152479;3001052279
70152480;3001052280
101231;3001052281
101232;3001052282
101233;3001052283
101234;3001052284
101235;3001052285
101236;3001052286
101237;3001052287
101238;3001052288
